id,filename,label,label_idx
30769,30769.png,automobile,1
4649,4649.png,automobile,1
6351,6351.png,frog,6
45865,45865.png,bird,2
34442,34442.png,ship,8
27766,27766.png,frog,6
17747,17747.png,automobile,1
7975,7975.png,bird,2
36523,36523.png,frog,6
10436,10436.png,horse,7
19600,19600.png,horse,7
3365,3365.png,horse,7
21023,21023.png,cat,3
2732,2732.png,automobile,1
40998,40998.png,dog,5
25858,25858.png,automobile,1
40804,40804.png,deer,4
6342,6342.png,bird,2
30857,30857.png,automobile,1
17409,17409.png,horse,7
32535,32535.png,frog,6
19821,19821.png,cat,3
40827,40827.png,cat,3
46845,46845.png,truck,9
8901,8901.png,automobile,1
15476,15476.png,dog,5
32542,32542.png,cat,3
19782,19782.png,cat,3
4393,4393.png,cat,3
13198,13198.png,ship,8
2762,2762.png,truck,9
18936,18936.png,airplane,0
3307,3307.png,deer,4
6690,6690.png,dog,5
27054,27054.png,dog,5
23040,23040.png,dog,5
3112,3112.png,frog,6
7770,7770.png,dog,5
39030,39030.png,dog,5
28834,28834.png,airplane,0
3033,3033.png,truck,9
36942,36942.png,automobile,1
22589,22589.png,airplane,0
14266,14266.png,truck,9
8195,8195.png,frog,6
15373,15373.png,cat,3
4319,4319.png,horse,7
27285,27285.png,automobile,1
47527,47527.png,cat,3
32580,32580.png,horse,7
5032,5032.png,truck,9
22305,22305.png,airplane,0
38958,38958.png,frog,6
22830,22830.png,automobile,1
21568,21568.png,cat,3
6808,6808.png,dog,5
28152,28152.png,deer,4
39840,39840.png,truck,9
5296,5296.png,horse,7
21841,21841.png,ship,8
13407,13407.png,ship,8
23379,23379.png,cat,3
21130,21130.png,truck,9
17540,17540.png,automobile,1
40373,40373.png,bird,2
36214,36214.png,bird,2
49755,49755.png,frog,6
48953,48953.png,cat,3
30053,30053.png,airplane,0
44104,44104.png,cat,3
2295,2295.png,dog,5
16520,16520.png,truck,9
20944,20944.png,truck,9
15487,15487.png,automobile,1
32271,32271.png,deer,4
35405,35405.png,automobile,1
16854,16854.png,automobile,1
24491,24491.png,cat,3
34099,34099.png,ship,8
45530,45530.png,bird,2
44906,44906.png,bird,2
10928,10928.png,horse,7
41033,41033.png,automobile,1
31444,31444.png,ship,8
38873,38873.png,automobile,1
25481,25481.png,deer,4
25424,25424.png,deer,4
47508,47508.png,dog,5
19757,19757.png,dog,5
9779,9779.png,horse,7
10017,10017.png,ship,8
30348,30348.png,cat,3
37882,37882.png,airplane,0
23687,23687.png,frog,6
38081,38081.png,bird,2
38083,38083.png,truck,9
7907,7907.png,cat,3
3773,3773.png,cat,3
46356,46356.png,truck,9
39112,39112.png,horse,7
49054,49054.png,bird,2
9573,9573.png,ship,8
29800,29800.png,deer,4
9880,9880.png,dog,5
34368,34368.png,horse,7
